path,name_ar,kind,account_manager,vendor,description,description_ar,stage,target_date,target,ADT,Medication Prescribe V1,Medication Prescribe V2,Medication Dispense V1,Medication Dispense V2,Radiology Order,Radiology Report,Lab Order,Lab Results,Clinical Notes
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Lujain Radiology Centre,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,9-modality radiology centre serving the eastern catchment. In production and reporting daily volumes.,,Live,,,,,,testing,live,live,live,,live,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Imaging Centres > Sana Imaging Centre,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"5-modality imaging centre serving the northern catchment. Build under way, held up on the identity feed.",,Integrating & Testing,2027-08-23,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies,الصيدليات,,,,17 pharmacies in account book one.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Wafeer Hospital Pharmacy,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,4-counter hospital pharmacy serving the southern catchment. Message mapping is in progress; the first end-to-end call has been made. Volumes are seasonal and the go-live window avoids the peak.,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Samaa Pharmacy,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"9-counter pharmacy serving the coastal catchment. Build under way, held up on the identity feed.",,Integrating & Testing,,,,planned,,planned,testing,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Ward Hospital Pharmacy,صيدلية ورد للمستشفيات,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,"5-counter hospital pharmacy serving the western catchment. Live since the last release window, with support in hypercare.",منشأة بـ 5 نوافذ صرف تخدم النطاق الغربي. دخل الإنتاج في نافذة الإصدار الأخيرة.,Live,,,live,live,live,live,live,live,live,live,live,live
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Hana Community Pharmacy,,Organization,Abdulaziz Alsaloom,Demo Vendor Epsilon,4-counter community pharmacy serving the southern catchment. Interfaces are being built against the sandbox. A second site under the same operator is expected to follow the same interface build.,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Fill Hospital Pharmacy,صيدلية فل للمستشفيات,Organization,Abdulaziz Alsaloom,Demo Vendor Delta,7-counter hospital pharmacy serving the eastern catchment. Message mapping is in progress; the first end-to-end call has been made.,منشأة بـ 7 نوافذ صرف تخدم النطاق الشرقي. ربط الرسائل قيد التنفيذ.,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Athl Community Pharmacy,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"3-counter community pharmacy serving the northern catchment. Contracted, with no integration work scheduled.",,,,,,planned,,testing,planned,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Zuhal Hospital Pharmacy,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,,,,,planned,,planned,planned,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Jawhara Hospital Pharmacy,صيدلية جوهرة للمستشفيات,Organization,Abdulaziz Alsaloom,Demo Vendor Delta,"5-counter hospital pharmacy serving the coastal catchment. Build under way, held up on the identity feed.",منشأة بـ 5 نوافذ صرف تخدم النطاق الساحلي. يجري بناء الواجهات على البيئة التجريبية.,Integrating & Testing,,,planned,planned,,planned,planned,,,,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Nasaem Hospital Pharmacy,صيدلية نسائم للمستشفيات,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,UAT,,,,planned,,testing,testing,,,testing,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Diya Community Pharmacy,,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,6-counter community pharmacy serving the southern catchment. Kickoff done and the technical contacts are named on both sides.,,Kickoff,,,planned,planned,planned,planned,planned,planned,,testing,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Duha Community Pharmacy,صيدلية ضحى المجتمعية,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Arak Hospital Pharmacy,صيدلية أراك للمستشفيات,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,UAT,,,,testing,testing,live,testing,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Marj Community Pharmacy,صيدلية مرج المجتمعية,Organization,Abdulaziz Alsaloom,,9-counter community pharmacy serving the inland catchment. Message mapping is in progress; the first end-to-end call has been made.,منشأة بـ 9 نوافذ صرف تخدم النطاق الداخلي. ربط الرسائل قيد التنفيذ.,Integrating & Testing,,,,testing,,planned,planned,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Yaqeen Hospital Pharmacy,صيدلية يقين للمستشفيات,Organization,Abdulaziz Alsaloom,Demo Vendor Gamma,"6-counter hospital pharmacy serving the northern catchment. Contracted, with no integration work scheduled.",منشأة بـ 6 نوافذ صرف تخدم النطاق الشمالي. لم يُتفق على النطاق بعد.,,,,,planned,,planned,planned,planned,,,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Bilaur Community Pharmacy,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,"3-counter community pharmacy serving the coastal catchment. Contracted, with no integration work scheduled.",,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Anbar Hospital Pharmacy,صيدلية عنبر للمستشفيات,Organization,Abdulaziz Alsaloom,Demo Vendor Beta,"12-counter hospital pharmacy serving the northern catchment. Build under way, held up on the identity feed. A second site under the same operator is expected to follow the same interface build.",منشأة بـ 12 نوافذ صرف تخدم النطاق الشمالي. ربط الرسائل قيد التنفيذ.,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book One > Pharmacies > Sanam Community Pharmacy,,Organization,Abdulaziz Alsaloom,Demo Vendor Alpha,,,Go-live readiness,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two,محفظة الحسابات الثانية,,nasser,,"92 organizations, managed end to end by one account manager.",92 منشأة يديرها مدير حساب واحد.,,2027-01-31,40,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals,المستشفيات,,,,15 hospitals in account book two.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Layali General Hospital,,Organization,nasser,Demo Vendor Alpha,"473-bed general hospital serving the southern catchment. Contracted, with no integration work scheduled. Two of the interfaces are shared with the reference laboratory and move together.",,,,,testing,,,,,,,testing,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Rajaa Community Hospital,,Organization,nasser,Demo Vendor Gamma,,,,,,planned,,testing,planned,,,,testing,planned,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Nakheel Maternity Hospital,,Organization,nasser,Demo Vendor Beta,287-bed maternity hospital serving the coastal catchment. Recorded for completeness while the onboarding order is decided.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Reeman Specialist Hospital,,Organization,nasser,,549-bed specialist hospital serving the eastern catchment. Kickoff held with the vendor; the interface catalogue is being confirmed.,,Kickoff,,,planned,,,,,,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Kafoor Specialist Hospital,مستشفى كافور التخصصي,Organization,nasser,Demo Vendor Delta,248-bed specialist hospital serving the inland catchment. In integration testing with the vendor.,منشأة بسعة 248 سريراً تخدم النطاق الداخلي. اختبار القبول جارٍ مع الفريق السريري.,UAT,,,live,,,testing,,,,testing,testing,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Shurooq Community Hospital,,Organization,,Demo Vendor Gamma,,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Fill Specialist Hospital,,Organization,nasser,Demo Vendor Alpha,,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Sana Specialist Hospital,مستشفى سنا التخصصي,Organization,nasser,,"358-bed specialist hospital serving the southern catchment. Kickoff done and the technical contacts are named on both sides. The vendor has one engineer allocated, which is what sets the pace here.",منشأة بسعة 358 سريراً تخدم النطاق الجنوبي. عُقد اجتماع الانطلاق مع المورد.,Kickoff,,,planned,,,,,planned,,planned,planned,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Sahl Community Hospital,مستشفى سهل المجتمعي,Organization,nasser,Demo Vendor Alpha,,,Kickoff,,,planned,planned,testing,planned,planned,,,testing,planned,testing
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Bilaur Specialist Hospital,مستشفى بلور التخصصي,Organization,nasser,Demo Vendor Beta,,,UAT,2026-12-02,,testing,,,,planned,,testing,testing,testing,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Anbar General Hospital,مستشفى عنبر العام,Organization,nasser,Demo Vendor Beta,,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Utarid Specialist Hospital,مستشفى عطارد التخصصي,Organization,,Demo Vendor Gamma,,,Integrating & Testing,,,planned,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Zahra Maternity Hospital,مستشفى زهرة للولادة,Organization,,Demo Vendor Beta,404-bed maternity hospital serving the western catchment. Scope not agreed yet; the first scoping session is being arranged.,منشأة بسعة 404 سريراً تخدم النطاق الغربي. تم التعاقد ولم تُجدول أعمال التكامل.,,,,planned,,,,,,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Thurayya Specialist Hospital,مستشفى ثريا التخصصي,Organization,nasser,,,,Integrating & Testing,2027-06-01,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Hospitals > Ghaim Community Hospital,مستشفى غيم المجتمعي,Organization,nasser,Demo Vendor Delta,,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics,العيادات,,,,18 clinics in account book two.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Hana Dental Clinic,عيادة هناء للأسنان,Organization,nasser,Demo Vendor Alpha,15-room dental clinic serving the western catchment. Recorded for completeness while the onboarding order is decided.,منشأة بـ 15 غرف تخدم النطاق الغربي. لم يُتفق على النطاق بعد.,,,,planned,planned,,,,,,planned,planned,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Nasaem Clinic,,Organization,,Demo Vendor Gamma,,,,,,planned,planned,,planned,planned,planned,planned,testing,planned,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Salwa Clinic,,Organization,nasser,Demo Vendor Beta,,,Not started,,,planned,planned,planned,planned,planned,planned,planned,,planned,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Arak Dental Clinic,,Organization,nasser,Demo Vendor Gamma,7-room dental clinic serving the northern catchment. Scope not agreed yet; the first scoping session is being arranged.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Ward Clinic,,Organization,nasser,Demo Vendor Delta,,,Go-live readiness,,,live,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Rabee Dental Clinic,,Organization,,Demo Vendor Beta,16-room dental clinic serving the inland catchment. Recorded for completeness while the onboarding order is decided.,,,,,testing,planned,,,,,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Reehan Family Clinic,عيادة ريحان للأسرة,Organization,nasser,Demo Vendor Gamma,10-room family clinic serving the western catchment. Recorded for completeness while the onboarding order is decided.,منشأة بـ 10 غرف تخدم النطاق الغربي. تم التعاقد ولم تُجدول أعمال التكامل.,,,,planned,planned,,,,,,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Jawhara Clinic,,Organization,nasser,Demo Vendor Beta,"5-room clinic serving the northern catchment. Ready to go live, waiting on the change freeze to lift.",,Go-live readiness,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Nakheel Clinic,عيادة نخيل,Organization,nasser,Demo Vendor Epsilon,,,Live,,,live,live,live,live,live,live,live,live,live,live
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Talaa Clinic,,Organization,nasser,Demo Vendor Gamma,,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Thurayya Family Clinic,عيادة ثريا للأسرة,Organization,nasser,Demo Vendor Alpha,9-room family clinic serving the southern catchment. Kickoff done and the technical contacts are named on both sides.,منشأة بـ 9 غرف تخدم النطاق الجنوبي. عُقد اجتماع الانطلاق مع المورد.,Kickoff,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Kanan Clinic,,Organization,nasser,Demo Vendor Beta,6-room clinic serving the southern catchment. Kickoff held with the vendor; the interface catalogue is being confirmed.,,Kickoff,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Zaytoon Dental Clinic,,Organization,nasser,,11-room dental clinic serving the eastern catchment. On the list for this year; no work has started.,,Not started,,,planned,planned,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Rawd Family Clinic,,Organization,nasser,Demo Vendor Beta,4-room family clinic serving the eastern catchment. Message mapping is in progress; the first end-to-end call has been made.,,Integrating & Testing,,,planned,planned,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Samaa Family Clinic,عيادة سماء للأسرة,Organization,nasser,Demo Vendor Delta,,,,,,planned,planned,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Salsabeel Family Clinic,,Organization,nasser,Demo Vendor Delta,,,Integrating & Testing,2026-10-14,,planned,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Jumana Family Clinic,,Organization,nasser,Demo Vendor Gamma,5-room family clinic serving the western catchment. Interfaces are being built against the sandbox.,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Clinics > Shafaq Dental Clinic,عيادة شفق للأسنان,Organization,nasser,Demo Vendor Beta,,,Not started,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories,المختبرات,,,,15 laboratories in account book two.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Fill Laboratory,مختبر فل,Organization,nasser,Demo Vendor Gamma,,,UAT,,,,,,testing,,,,testing,live,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Utarid Reference Laboratory,,Organization,nasser,Demo Vendor Alpha,,,Kickoff,,,,,,,,,,planned,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Kanan Reference Laboratory,مختبر كنان المرجعي,Organization,nasser,Demo Vendor Beta,,,Go-live readiness,,,,,,,planned,,live,testing,live,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Nakheel Reference Laboratory,مختبر نخيل المرجعي,Organization,nasser,Demo Vendor Alpha,,,,,,,,,,,,,testing,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Jawhara Laboratory,,Organization,,Demo Vendor Beta,,,Integrating & Testing,,,,,,,,,,testing,testing,testing
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Ghadeer Laboratory,مختبر غدير,Organization,nasser,Demo Vendor Gamma,4-bench laboratory serving the southern catchment. Recorded for completeness while the onboarding order is decided. The clinical team has asked for a second training round before the next capability is switched on.,منشأة بـ 4 منصات فحص تخدم النطاق الجنوبي. لم يُتفق على النطاق بعد.,,,,,planned,,,,,planned,planned,testing,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Suhail Laboratory,,Organization,nasser,Demo Vendor Beta,,,Kickoff,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Wafeer Reference Laboratory,,Organization,nasser,Demo Vendor Gamma,,,,,,,,,,,,,planned,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Basateen Reference Laboratory,مختبر بساتين المرجعي,Organization,nasser,Demo Vendor Alpha,7-bench reference laboratory serving the eastern catchment. Testing is complete on the first two capabilities and continuing on the rest.,منشأة بـ 7 منصات فحص تخدم النطاق الشرقي. اختبار القبول جارٍ مع الفريق السريري.,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Fajr Laboratory,مختبر فجر,Organization,,Demo Vendor Delta,"23-bench laboratory serving the western catchment. Contracted, with no integration work scheduled.",منشأة بـ 23 منصات فحص تخدم النطاق الغربي. تم التعاقد ولم تُجدول أعمال التكامل.,,,,planned,planned,planned,,planned,planned,planned,planned,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Safaa Diagnostic Laboratory,,Organization,nasser,,18-bench diagnostic laboratory serving the western catchment. Recorded for completeness while the onboarding order is decided.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Ufuq Reference Laboratory,,Organization,nasser,,,,Integrating & Testing,,,,,,,,,,planned,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Thurayya Reference Laboratory,,Organization,nasser,Demo Vendor Alpha,,,Kickoff,,,,,,,,,,planned,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Sadaf Reference Laboratory,,Organization,nasser,Demo Vendor Alpha,"9-bench reference laboratory serving the eastern catchment. Live since the last release window, with support in hypercare.",,Live,,,,,,,,live,,live,live,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Laboratories > Zumurrud Diagnostic Laboratory,,Organization,nasser,Demo Vendor Beta,"24-bench diagnostic laboratory serving the western catchment. Contracted, with no integration work scheduled.",,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics,المجمعات الطبية,,,,15 polyclinics in account book two.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Wafa Day Surgery Polyclinic,مجمع وفاء لجراحة اليوم الواحد,Organization,nasser,Demo Vendor Gamma,22-room day surgery polyclinic serving the southern catchment. Onboarding agreed and nothing has begun.,منشأة بـ 22 غرف تخدم النطاق الجنوبي. مدرج ضمن خطة هذا العام ولم يبدأ بعد.,Not started,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Talh Day Surgery Polyclinic,مجمع طلح لجراحة اليوم الواحد,Organization,nasser,Demo Vendor Alpha,,,Integrating & Testing,2026-10-11,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Sanam Day Surgery Polyclinic,مجمع سنام لجراحة اليوم الواحد,Organization,nasser,Demo Vendor Beta,,,Integrating & Testing,,,testing,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Dorra Day Surgery Polyclinic,,Organization,nasser,Demo Vendor Delta,,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Salwa Specialist Polyclinic,مجمع سلوى الطبي التخصصي,Organization,nasser,Demo Vendor Beta,,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Zumurrud Day Surgery Polyclinic,مجمع زمرد لجراحة اليوم الواحد,Organization,nasser,Demo Vendor Gamma,,,Not started,,,planned,planned,,planned,,planned,planned,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Dhikra Specialist Polyclinic,مجمع ذكرى الطبي التخصصي,Organization,nasser,Demo Vendor Alpha,,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Nada Polyclinic,,Organization,nasser,Demo Vendor Epsilon,"8-room polyclinic serving the southern catchment. Build under way, held up on the identity feed.",,Integrating & Testing,,,planned,testing,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Shurooq Day Surgery Polyclinic,,Organization,nasser,Demo Vendor Epsilon,"39-room day surgery polyclinic serving the western catchment. Ready to go live, waiting on the change freeze to lift.",,Go-live readiness,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Talaa Day Surgery Polyclinic,مجمع طلعة لجراحة اليوم الواحد,Organization,nasser,Demo Vendor Alpha,,,Integrating & Testing,,,planned,testing,testing,,,planned,planned,,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Kahraman Specialist Polyclinic,,Organization,nasser,Demo Vendor Beta,39-room specialist polyclinic serving the eastern catchment. Paused at the site’s request until the estate work finishes.,,Paused,,,planned,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Kafoor Day Surgery Polyclinic,,Organization,nasser,Demo Vendor Beta,"22-room day surgery polyclinic serving the western catchment. Contracted, with no integration work scheduled.",,,,,testing,planned,,,,testing,,planned,,planned
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Rabee Polyclinic,,Organization,,Demo Vendor Epsilon,,,Not started,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Rajaa Polyclinic,مجمع رجاء الطبي,Organization,nasser,Demo Vendor Alpha,,,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Polyclinics > Sahl Specialist Polyclinic,,Organization,,Demo Vendor Beta,23-room specialist polyclinic serving the eastern catchment. User acceptance testing is running with the clinical team.,,UAT,2027-01-27,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres,مراكز الأشعة,,,,13 imaging centres in account book two.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Kahraman Radiology Centre,مركز كهرمان للتصوير الطبي,Organization,nasser,Demo Vendor Alpha,,,Live,,,,,,,,live,live,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Reehan Radiology Centre,,Organization,nasser,Demo Vendor Epsilon,7-modality radiology centre serving the western catchment. Interfaces are being built against the sandbox.,,Integrating & Testing,2027-07-20,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Dorra Radiology Centre,مركز درة للتصوير الطبي,Organization,nasser,Demo Vendor Gamma,,,Integrating & Testing,,,,planned,,planned,,testing,planned,,,testing
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Ghaim Radiology Centre,,Organization,,Demo Vendor Gamma,5-modality radiology centre serving the western catchment. Kickoff held with the vendor; the interface catalogue is being confirmed.,,Kickoff,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Wafa Radiology Centre,,Organization,nasser,Demo Vendor Delta,5-modality radiology centre serving the western catchment. User acceptance testing is running with the clinical team.,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Najma Radiology Centre,,Organization,nasser,Demo Vendor Gamma,,,,,,planned,,planned,testing,testing,testing,testing,planned,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Nasaem Radiology Centre,,Organization,nasser,Demo Vendor Gamma,4-modality radiology centre serving the eastern catchment. Kickoff held with the vendor; the interface catalogue is being confirmed.,,Kickoff,,,,,planned,planned,,planned,planned,,planned,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Kanan Imaging Centre,,Organization,,Demo Vendor Beta,"3-modality imaging centre serving the southern catchment. Ready to go live, waiting on the change freeze to lift.",,Go-live readiness,,,,,,,,live,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Ufuq Radiology Centre,مركز أفق للتصوير الطبي,Organization,nasser,Demo Vendor Beta,7-modality radiology centre serving the inland catchment. Onboarding agreed and nothing has begun.,منشأة بـ 7 أجهزة تصوير تخدم النطاق الداخلي. متفق على التأهيل ولم يبدأ العمل.,Not started,,,,,,,,testing,planned,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Jawhara Imaging Centre,,Organization,nasser,Demo Vendor Beta,8-modality imaging centre serving the northern catchment. Testing is complete on the first two capabilities and continuing on the rest.,,UAT,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Misk Diagnostic Imaging Centre,,Organization,nasser,,3-modality diagnostic imaging centre serving the inland catchment. Recorded for completeness while the onboarding order is decided.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Nakheel Imaging Centre,مركز نخيل للأشعة,Organization,nasser,Demo Vendor Gamma,"2-modality imaging centre serving the coastal catchment. Build under way, held up on the identity feed.",منشأة بـ 2 أجهزة تصوير تخدم النطاق الساحلي. ربط الرسائل قيد التنفيذ.,Integrating & Testing,,,,,,,,testing,testing,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Imaging Centres > Rajaa Diagnostic Imaging Centre,,Organization,nasser,Demo Vendor Alpha,"8-modality diagnostic imaging centre serving the western catchment. Contracted, with no integration work scheduled. Two of the interfaces are shared with the reference laboratory and move together.",,,,,,,,,,planned,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Pharmacies,الصيدليات,,,,16 pharmacies in account book two.,,,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Pharmacies > Yaqoot Pharmacy,صيدلية ياقوت,Organization,nasser,,"12-counter pharmacy serving the northern catchment. Build under way, held up on the identity feed. Volumes are seasonal and the go-live window avoids the peak.",منشأة بـ 12 نوافذ صرف تخدم النطاق الشمالي. ربط الرسائل قيد التنفيذ.,Integrating & Testing,,,,,,,,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Pharmacies > Ghadeer Community Pharmacy,صيدلية غدير المجتمعية,Organization,nasser,Demo Vendor Zeta,,,Integrating & Testing,,,,,,planned,planned,,,,,
UHR > Demo Portfolio > Associate Directorate Alpha > Account Book Two > Pharmacies > Kahraman Community Pharmacy,صيدلية كهرمان المجتمعية,Organization,nasser,Demo Vendor Beta,,,,,,,planned,,planned,planned,testing,planned,planned,,
